id,prix_million_Ar,superficie_m2,nb_chambres,nb_etages,acces_route,eau_electricite,parking,annee_construction,localisation_periurbain,localisation_rural,localisation_urbain,type_connexion_aucune,type_connexion_fibre,type_connexion_starlink,type_sol_brut,type_sol_carrelage,type_sol_ciment,etat_maison_a_renover,etat_maison_bon,etat_maison_neuf
107.0,-0.6745646811438059,-1.323956138522008,-1.3711827218827615,1.02167913982742,0.0,0.0,1.0,-1.469185131923579,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
5484.0,0.06545353904178168,-1.3412815368401332,1.4410264283491334,1.02167913982742,1.0,0.0,1.0,-0.3594539916023567,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
6998.0,1.773890664655422,1.3268298041511408,-0.6681304343247878,1.02167913982742,1.0,0.0,1.0,-0.8638772372029122,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
4040.0,-0.6197485166856141,-1.3759323334763836,1.4410264283491334,-0.9787808726024474,0.0,0.0,1.0,0.6493924995987543,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
3013.0,0.6410232658527941,1.3095044058330156,1.4410264283491334,-0.9787808726024474,0.0,1.0,0.0,-0.9647618863230233,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
6607.0,-0.0807228995133961,-1.3066307402038828,0.7379741407911597,1.02167913982742,0.0,1.0,0.0,1.5573543416797544,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
4219.0,-1.021733722712353,-0.7175671973876275,0.03492185323318598,1.02167913982742,0.0,0.0,0.0,-0.4603386407224678,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
5665.0,-0.811605092289285,-0.7002417990695023,-1.3711827218827615,1.02167913982742,0.0,0.0,0.0,-0.25856934248224556,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
9225.0,-1.423718928739092,-1.4798847233851344,-1.3711827218827615,-0.9787808726024474,0.0,1.0,1.0,0.14496925399819885,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
8030.0,0.6775673754915886,1.4307821940598917,0.03492185323318598,-0.9787808726024474,0.0,0.0,0.0,-0.6621079389626899,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1851.0,1.4541297053159705,1.0496234310611383,-0.6681304343247878,-0.9787808726024474,0.0,0.0,1.0,-1.1665311845632456,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3043.0,-0.1629471462006836,-1.6184879099301357,1.4410264283491334,1.02167913982742,1.0,0.0,1.0,1.6582389907998654,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
